gene_id	log2FoldChange	padj
YER081W	3.10167571107462	1.15568834521399e-180
YEL071W	1.13052318924071	3.04607848644492e-70
YKR039W	1.80732473125248	6.06855481873369e-34
YMR056C	1.86602066218012	1.30820641511874e-28
YOL110W	1.5882215815609	2.00361000028026e-26
YBR070C	1.86099817821765	2.53040403920218e-24
YOR383C	1.12119505159894	4.66547702646302e-24
YFR030W	1.17713872168585	4.38489077617698e-20
YER042W	1.45892183091378	4.93308557986896e-19
YOR348C	2.03826886741526	6.7090937161112e-19
YCR005C	1.14288757056471	9.42650166307726e-18
YLL060C	1.33116515348354	2.8725829333105e-17
YGR051C	2.37658180458831	1.23889912584358e-16
YLL061W	1.25682722530583	1.47751597336361e-16
YPL025C	4.30807604045536	5.56203399304349e-16
YPL134C	1.27303713592816	2.06070039254587e-15
YFL054C	1.31237087158166	5.36504956190482e-15
YDR111C	1.01999787053117	8.00088732816716e-15
YBR230W-A	1.48478576504683	4.18128992407031e-14
YKR076W	1.12699847091182	6.28212034688688e-13
YLR151C	1.26670620761563	2.0553169788862e-12
YLR108C	1.33069387723255	3.1083531559201e-11
YMR042W	1.10484448846136	7.43092701184721e-11
YPR015C	1.75629028994535	5.16071800112407e-10
YPR167C	1.09898311172612	2.3911786751964e-09
YIR039C	1.1690410726406	2.50197467114784e-09
YKL161C	1.00533497052396	4.91745585510809e-09
YIR018C-A	1.23268598446968	3.41044382022157e-08
YPR064W	2.23789996878231	4.42891550111041e-08
YOR100C	2.86438270442811	6.91855143753922e-08
YGR050C	2.32053590627082	1.26134530025736e-07
YML055W	1.00932101237445	1.78281297828805e-07
YNL259C	1.22798364359641	1.78947422080105e-07
YIR042C	1.26238389911545	1.84549560824027e-07
YJR078W	1.87005572784904	2.52116707881306e-07
YBL044W	3.32137822069852	4.02346795161023e-07
YJL194W	2.82474710026372	4.84594039365268e-07
YOR376W	3.71004779933729	6.11999539368069e-07
YLR049C	1.06127406190167	1.00547502513675e-06
YPR061C	1.08986460207329	1.07728960647357e-06
YCR025C	3.00519986643699	1.19123214981827e-06
YEL066W	1.02728697861459	1.29846033160388e-06
YGR087C	2.07886730640905	1.91563557156958e-06
YOL047C	1.1947061169031	2.11167558325419e-06
YMR244C-A	1.68051627516037	2.59938257678572e-06
YHR007C-A	1.7006298780522	2.7271523979961e-06
YDL010W	1.10761394371241	2.76612000540074e-06
YGR067C	1.36272330106968	3.40415953011105e-06
YNL279W	1.19805502940716	5.25404470124404e-06
YHR075C	1.09426885142591	1.72668210601547e-05
YNL133C	1.4030056070934	2.18335433351106e-05
YGR110W	1.28110641115101	2.61115483039325e-05
YIL024C	1.22236721136845	3.27281620430886e-05
YDR374W-A	1.25350045886722	3.70629936830112e-05
YLR211C	1.06849967723361	3.89368922597013e-05
YDL021W	1.1145683710159	4.52363499351649e-05
YIL014C-A	1.42251063633696	5.08105709599568e-05
YKR013W	1.32150029933631	5.20288362530834e-05
YPL062W	2.47277570816965	5.92449537730164e-05
YDR018C	1.27041256169057	6.91637536574763e-05
YMR174C	1.49176727438519	7.95043382047685e-05
YLR112W	1.52296510059477	8.20223473799289e-05
YDR528W	1.1001709982555	9.04097700686193e-05
YCL027W	1.22698671419463	0.000102267204304488
YJL170C	1.14028833401802	0.000110847724867247
agat-cds-3425	2.89122344570898	0.000129536940107349
YGR225W	2.09846115464283	0.000130058167039597
YIR027C	1.88848024864253	0.000139770200612326
YOR105W	1.03827432240088	0.000174598423663411
YDR191W	1.04258076222039	0.000176086024149919
YOL084W	1.23455321458762	0.000200913387050611
YOL114C	1.32440498810019	0.000233484198007724
YIR028W	1.19315382409393	0.000396981619298279
YMR034C	1.13474847015961	0.000416207092426893
YKL044W	2.24340195317455	0.000536408657138881
YKR097W	1.12315794272154	0.000601258758307024
YLR273C	1.02929230020566	0.000798442204260615
YDR536W	1.03663468500205	0.000859327805925708
YGL034C	1.94694391220149	0.000954006938344669
YMR194C-A	1.94313943748089	0.00116716655042824
YPL124W	1.14377236994246	0.00118455075132871
YKL162C-A	2.17619240719725	0.00138000800474905
YGR153W	1.16878951680826	0.00193452830405456
YGR122C-A	1.85352681111811	0.00200077605366264
YNCG0010W	1.18161202035383	0.00288554059171634
YBR018C	1.32184899088688	0.00295734016905609
YPR014C	1.21256102335928	0.00385049403370615
YLR119W	1.30517153960214	0.00420808949945321
YLR296W	2.34070963665598	0.00443853281366154
YMR017W	1.31125199260431	0.00445038299320989
YIL046W-A	2.42126369150827	0.00529148427133536
YOR114W	1.10767181015461	0.00551361538922271
YAR053W	2.28494312118117	0.00569616613072139
YDR076W	1.08560973103387	0.00673053174776096
YJL219W	2.02573794803825	0.00678045494100206
YGR107W	2.07579188857	0.00688197981929925
YOL156W	1.19637521278268	0.00696461141369335
YKL178C	1.71659057408344	0.0071813114799998
YIR032C	1.38694888784285	0.00784526839163479
YMR018W	1.45705640774591	0.00797312983879724
YJR095W	1.61895823342497	0.00942467088853886
YDR525W-A	1.64766489656284	0.0101901000034304
YGR011W	1.37281280976051	0.010276763367859
YOR318C	1.29271255774152	0.0106739393034272
YOR306C	1.18140711297878	0.0108061520760863
YAL016C-B	1.56982590164803	0.0111822317532578
YBR019C	1.63956024960369	0.012393849107005
YFR034W-A	1.00135805229481	0.0139510881359762
YDR504C	1.14941220393858	0.0157339613366544
YHR214W-A	1.33399351533731	0.0170543639557069
YFL067W	2.21034239269075	0.0177121882167716
YNL332W	2.20911291573113	0.0180169341973298
YKR106W	1.22278663782032	0.0197633535828202
YPR078C	1.01927238444466	0.0212092446259493
YNL140C	1.12346354928367	0.0235655853643528
YBR148W	1.03260469971155	0.0242127814020895
YFL019C	2.04610290272168	0.0246606283754441
YOR177C	1.12756883335531	0.0247778552477327
YBR184W	1.51998935520601	0.0280009861900149
agat-transposable_element_gene-81	1.2679506542917	0.0283067990252868
YOL164W-A	1.27519649482636	0.0304105436468463
YDR218C	1.89293883709437	0.0316503297878343
YLR307W	1.91536284132979	0.0320914126597624
YGL007W	1.98615797884919	0.0375387393586717
YFL020C	1.16741683682645	0.037869994002518
YOL165C	2.194951711775	0.0383848827565952
YFL021C-A	1.47582677268473	0.0394007583236173
YBR250W	1.8188051552157	0.0394820101928337
YLR280C	1.79409865746268	0.0398301567964138
YOL132W	1.18033601793279	0.0412627628855995
YGR109C	1.70914795325919	0.0428005103355304
YKL221W	1.10240393805655	0.0453453147267292
YBR209W	1.02578096823408	0.0483828306220286
YJR156C	1.33171966851286	0.0487836176997526
